image_id,generated_caption,error_type,primary_error_token,notes
COCO_val2014_000000000133,"a small wooden bunk bed",0,NA,"Bunk bed clearly visible; wooden material correct; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000164,"a kitchen with a table and chairs in it",0,NA,"Kitchen visible; table and chair visible in foreground; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000192,"a baseball player is getting ready to hit the ball",3,"getting ready to hit","Player is walking past home plate; not in batting stance; no indication of preparing to hit; action mismatch."
COCO_val2014_000000000196,"a table full of food",0,NA,"Table covered with multiple dishes and bowls of food; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000208,"a small lizard is standing on a sink",1,"lizard","The animal appears to be a toy/figurine, not a real lizard; object misidentification."
COCO_val2014_000000000257,"a group of people standing in front of a building",0,NA,"Group of people visible in foreground; large architectural structure/building behind them; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000387,"a nintendo game system sitting on a table",1,"nintendo game system","Visible objects are ASUS laptops and a mobile phone; no Nintendo game system present; object hallucination."
COCO_val2014_000000000397,"a pizza on a metal stand",0,NA,"Pizza clearly visible placed on a metal stand; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000520,"a flock of birds flying over a body of water",0,NA,"Multiple birds flying above a body of water; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000569,"a man flying a kite in a park",0,NA,"Person flying multiple small kites in an open park-like area with grass and flower beds; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000589,"a man is throwing a frck in a field",1,"frck","Man appears to be swinging a bat or stick; no object identifiable as 'frck'; object error due to nonexistent/invalid object."
COCO_val2014_000000000675,"a cat standing on a bed next to a desk",0,NA,"Cat standing on a bed beside a bedside table/desk; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000692,"a woman taking a picture of a baby with a camera",3,"taking a picture of a baby","Woman is taking a mirror selfie while holding the baby; not taking a picture of the baby; relation/action mismatch."
COCO_val2014_000000000711,"a living room with a couch and a coffee table",0,NA,"Living room scene with couch and coffee table clearly visible; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000715,"a bunch of oranges",0,NA,"Oranges clearly visible among other fruits; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000761,"a group of people standing on a snow covered slope",0,NA,"Multiple people standing with skis on a snow-covered slope; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000810,"a basket of food on a table",0,NA,"Basket containing food placed on a table; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000939,"a bathroom with two sinks and a mirror",0,NA,"Bathroom scene with two sinks and a large mirror visible; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000000987,"a black stove with a tea kettle on top",0,NA,"Black stove with a tea kettle on top clearly visible; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001000,"a group of kids",0,NA,"Group of children standing together on a tennis court; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001270,"a young boy is getting ready to hit the ball",0,NA,"Young boy in batting stance at home plate preparing to hit; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001342,"a book opened to show a picture of a plane",0,NA,"Open book displaying images of airplanes; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001369,"a man walking on the beach",0,NA,"Man walking toward the ocean on a beach with waves visible; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001532,"a freeway with a bunch of cars driving underneath",0,NA,"Multiple cars driving on a freeway under overhead signs/overpass; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001561,"a small bird sitting on a skateboard",0,NA,"Small bird perched on top of a skateboard; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001573,"a stove sitting on top of a stove",1,"stove sitting on top of a stove","Only one stove visible; no second stove present; object hallucination."
COCO_val2014_000000001599,"a tennis player is preparing to hit the ball",0,NA,"Tennis player on court in serving/preparation stance; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001668,"a baseball player standing on a field with a bat",0,NA,"Baseball player holding a bat standing on the field; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001675,"a black and white cat sitting on a computer",0,NA,"Black and white cat lying/sitting on a laptop computer; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001700,"a man riding a snowboard down a snow covered slope",0,NA,"Person snowboarding down a snow-covered slope; no hallucinated objects; no incorrect attributes or relations."
COCO_val2014_000000001799,"a green and white truck",2,"white","Truck is green with white text/logo but not white as a primary body color; attribute color mismatch."
COCO_val2014_000000002006,"a purple bus is driving down the street",0,NA,"Purple bus driving on a street; no hallucinated objects; no incorrect attributes or relations."
