image_id,file_name,split,scenario_category,has_saliency_png,has_fixation_mat,ground_truth_caps,primary_gt_caption,n_gt_captions,blip_caption,blip2_caption,ofa_caption,vit_gpt2_caption,bleu4_blip,bleu4_blip2,bleu4_ofa,bleu4_vit_gpt2,cider_blip,meteor_blip,rougeL_blip,human_correct_blip,human_correct_blip2,human_correct_ofa,human_correct_vit_gpt2,error_type_blip,error_type_blip2,error_type_ofa,error_type_vit_gpt2,error_token_blip,error_token_blip2,error_token_ofa,error_token_vit_gpt2,js_div_mean_blip,kl_div_mean_blip,error_token_js_blip,other_tokens_js_blip,gt_caps_parsed,bleu1_blip,bleu2_blip,bleu3_blip,bleu4_conf_blip,bleu1_blip2,bleu2_blip2,bleu3_blip2,cider_blip2,meteor_blip2,rougeL_blip2,bleu4_conf_blip2,bleu1_vit_gpt2,bleu2_vit_gpt2,bleu3_vit_gpt2,cider_vit_gpt2,meteor_vit_gpt2,rougeL_vit_gpt2,bleu4_conf_vit_gpt2,annotator_1_blip,annotator_2_blip,annotator_3_blip,annotator_1_blip2,annotator_2_blip2,annotator_3_blip2,annotator_1_vit_gpt2,annotator_2_vit_gpt2,annotator_3_vit_gpt2,metric_correct_blip,metric_correct_blip2,metric_correct_vit_gpt2,js_div_max_blip,cos_sim_mean_blip
463296,COCO_val2014_000000463296.jpg,val,attribute_errors,True,True,"['A living room has modern white furniture and red walls.', 'The furniture in the large living room looks new.', 'A small living room with furniture, a window and fireplace.', 'A living area with white leather furniture and a fireplace.', 'A group of chairs sitting in a living room by a window.']",A living room has modern white furniture and red walls.,5,"this is a living room with a couch, chair, ottoman and fireplace",a living room with two couches and a fireplace,[OFA_UNAVAILABLE],a living room filled with furniture and a fire place,0.1319384917132592,0.1996019880774732,,0.1825741858350554,0.1348810094301336,0.5010893246187365,0.6363636363636365,1,1,,1,correct,correct,,correct,,,,,0.46391640047578053,8.278512615711938,,,"['A living room has modern white furniture and red walls.', 'The furniture in the large living room looks new.', 'A small living room with furniture, a window and fireplace.', 'A living area with white leather furniture and a fireplace.', 'A group of chairs sitting in a living room by a window.']",0.5,0.3692744729379982,0.3010067189543958,medium,0.6666666666666666,0.5773502691896257,0.4566711403962942,0.1756466328524188,0.5162738496071829,0.631578947368421,medium,0.7,0.557773351022717,0.4268597216624981,0.2214310879891557,0.5625,0.6,medium,1,1,1,1,1,1,1,0,1,0,0,0,0.48281045190870847,0.273551815242415
99230,COCO_val2014_000000099230.jpg,val,context_mismatch,True,True,"['A cat has its paw on a game controller remote.', 'A PERSON HAS MADE A CAT PUT ITS PAW ON THE REMOTE.', 'A man is holding a cat and remote control.', 'A person tries to get a cat interested in a Wii-mote.', 'A black cat holding a Nintendo Wii controller.']",A cat has its paw on a game controller remote.,5,there is a black cat that is playing with a wii remote,a person holding a wii remote,[OFA_UNAVAILABLE],a person holding a cat on a couch,0.1041904464013639,0.0968177217771391,,0.2020515504676623,0.1226941433837309,0.530952380952381,0.5,1,1,,1,correct,correct,,correct,,,,,0.5030956874473578,9.421019397983416,,,"['A cat has its paw on a game controller remote.', 'A PERSON HAS MADE A CAT PUT ITS PAW ON THE REMOTE.', 'A man is holding a cat and remote control.', 'A person tries to get a cat interested in a Wii-mote.', 'A black cat holding a Nintendo Wii controller.']",0.5833333333333334,0.3256694736394648,0.2197107811492718,medium,0.7165313105737893,0.4531741912477329,0.1543719911994181,0.1346457998204423,0.4046474358974359,0.5714285714285715,low,0.875,0.7071067811865475,0.4367902323681494,0.2188319335297281,0.4551020408163265,0.5,medium,1,1,1,1,1,1,1,1,1,0,0,1,0.5210911292582822,0.25478178320307576
13383,COCO_val2014_000000013383.jpg,val,general_baseline,True,True,"['Cats lie on a desk next to a keyboard.', 'Two cats laying next to a cup of coffee.', 'Black and white cats lying on desk with keyboard.', 'Two cats sleeping on a table by a coffee cup', 'a cat on a desk laying next to a keyboard ']",Cats lie on a desk next to a keyboard.,5,there is a black and white cat laying on a desk next to a keyboard,two cats sleeping on a desk next to a keyboard,[OFA_UNAVAILABLE],a black and white cat laying next to a computer keyboard,0.5253819788848316,0.9621954581957616,,0.3709723313682505,0.3258946891843166,0.8928571428571429,0.7200000000000001,0,1,,1,attribute_mismatch,correct,,correct,desk,,,,0.4232730127981986,6.741894442131876,0.41099571348385583,0.42414996274922306,"['Cats lie on a desk next to a keyboard.', 'Two cats laying next to a cup of coffee.', 'Black and white cats lying on desk with keyboard.', 'Two cats sleeping on a table by a coffee cup', 'a cat on a desk laying next to a keyboard ']",0.8666666666666667,0.7037315505489967,0.6114214174657597,high,1.0,1.0,1.0,0.5402420328487684,0.7789062500000001,0.8421052631578948,high,0.9090909090909092,0.674199862463242,0.5331122821307175,0.2504125292699111,0.6284097797534854,0.6666666666666666,high,0,0,0,1,1,1,1,1,1,1,1,1,0.4403737704959779,0.31158294322947255
109976,COCO_val2014_000000109976.jpg,val,counting_errors,True,True,"['An all white kitchen with an electric stovetop. ', 'A white stove sits between two small counter tops.', 'Close up of a white kitchen setup with a coffee maker on counter.', 'A white stove and cabinet inside a kitchen.', 'This is a small kitchen with white cabinets and appliances.']",An all white kitchen with an electric stovetop. ,5,this is an image of a kitchen with white cabinets and a stove,a kitchen with white cabinets and granite counter tops,[OFA_UNAVAILABLE],a white stove top oven sitting in a kitchen,0.398328715515695,0.4854917717073234,,0.1348511185950368,0.2713140453440547,0.7562196601941749,0.6956521739130435,0,1,,0,counting_errors,correct,,counting_errors,white,,,top,0.4299872753693439,8.137719191131554,0.4197208602923908,0.43084280995908997,"['An all white kitchen with an electric stovetop. ', 'A white stove sits between two small counter tops.', 'Close up of a white kitchen setup with a coffee maker on counter.', 'A white stove and cabinet inside a kitchen.', 'This is a small kitchen with white cabinets and appliances.']",0.9230769230769232,0.6793662204867574,0.5011627948853363,high,0.7777777777777778,0.6236095644623236,0.5503212081491045,0.2282500304295155,0.5948372615039282,0.631578947368421,high,0.5555555555555556,0.372677996249965,0.2707217536049034,0.1782169831956864,0.4629629629629629,0.5882352941176471,medium,0,0,0,1,1,1,0,0,0,1,1,0,0.44601484503442956,0.3212222481097412
43261,COCO_val2014_000000043261.jpg,val,object_confusion,True,True,"['A white table with various plates and dishes of food.', 'A table is covered with many dishes of various foods.', 'the table is filled with lots of different foods. ', 'A hand that is holding a spoon in food.', 'An individual reaching for a bowl of various vegetables.']",A white table with various plates and dishes of food.,5,there is a person holding a fork over a dish of food,a person holding a fork over a dish of food,[OFA_UNAVAILABLE],a person preparing food on a table,0.0452937617079388,0.0530771217107244,,0.0580933410828325,0.0469345884806139,0.309436274509804,0.380952380952381,0,0,,1,object_misidentification,relation_mismatch,,correct,there,dish,,,0.38524467910559146,6.433471728865356,0.3836161002221076,0.3853927317313628,"['A white table with various plates and dishes of food.', 'A table is covered with many dishes of various foods.', 'the table is filled with lots of different foods. ', 'A hand that is holding a spoon in food.', 'An individual reaching for a bowl of various vegetables.']",0.4166666666666667,0.1946247360403807,0.0723544685119367,low,0.4,0.2108185106778919,0.082207069144349,0.0381869878693549,0.2555555555555555,0.4210526315789474,low,0.3220616970322653,0.2008407546162877,0.0846349708527539,0.0492466818146367,0.1932989690721649,0.25,low,0,0,0,0,0,0,1,1,1,0,0,0,0.3978728929870142,0.37557421113915984
497593,COCO_val2014_000000497593.jpg,val,attribute_errors,True,True,"['A white plate sitting on top of a table.', 'Dinner plate with pineapple accompanied by coffee and wine.', 'A meal on white and blue china with a fork and spoon', 'A small coffee cup and a plate of food.', 'A white plate with a serving of food on it']",A white plate sitting on top of a table.,5,there is a plate of food and a cup of tea on a table,a plate of food on a table,[OFA_UNAVAILABLE],a plate of food on a table,0.1074301457116313,0.2066123846159388,,0.2066123846159388,0.1304538561754478,0.3157894736842105,0.4347826086956521,1,1,,1,correct,correct,,correct,,,,,0.4456969401528568,7.738355173121016,,,"['A white plate sitting on top of a table.', 'Dinner plate with pineapple accompanied by coffee and wine.', 'A meal on white and blue china with a fork and spoon', 'A small coffee cup and a plate of food.', 'A white plate with a serving of food on it']",0.5714285714285714,0.4193139346887672,0.2446991428610772,medium,0.6441233940645307,0.568063438111202,0.4594693117254234,0.1950659642671903,0.5269186712485682,0.6250000000000001,medium,0.6441233940645307,0.568063438111202,0.4594693117254234,0.1950659642671903,0.5269186712485682,0.6250000000000001,medium,1,1,0,1,0,1,1,1,1,0,1,1,0.46106178625895783,0.30492989675299
561116,COCO_val2014_000000561116.jpg,val,object_confusion,True,True,"['A dog with floppy ears sitting on a couch.', 'A big brown dog sitting on a couch', 'The dog was sitting on the couch near the child.', 'The yellow dog is sitting on the couch.', 'A dog who is sitting on a couch next to its owner.']",A dog with floppy ears sitting on a couch.,5,there is a dog that is sitting on a couch next to a baby,a dog sitting on a couch,[OFA_UNAVAILABLE],a brown and white dog sitting on a couch,0.4785543921093738,0.6025286104785453,,0.4854917717073234,0.3559356853846661,0.6744586116170816,0.6923076923076924,1,1,,1,correct,correct,,correct,,,,,0.5088130281824659,8.911110036227878,,,"['A dog with floppy ears sitting on a couch.', 'A big brown dog sitting on a couch', 'The dog was sitting on the couch near the child.', 'The yellow dog is sitting on the couch.', 'A dog who is sitting on a couch next to its owner.']",0.6428571428571429,0.5883484054145521,0.5244281231441934,high,0.7165313105737893,0.7165313105737893,0.651011899926317,0.4682195639457249,0.754985754985755,0.8571428571428571,high,0.7777777777777778,0.6236095644623236,0.5503212081491045,0.3353088063298267,0.8301839254220206,0.823529411764706,high,1,1,0,1,0,1,1,1,1,1,1,1,0.5252209853440977,0.24780624510007448
389205,COCO_val2014_000000389205.jpg,val,attribute_errors,True,True,"['A field full of baseball players playing a game of  baseball.', 'a baseball field that has some players in it', 'A baseball team playing on a baseball field', 'a number of baseball players on a field ', 'A crowd of people are watching two teams of athletes perform.']",A field full of baseball players playing a game of  baseball.,5,there are a lot of people watching a baseball game on the field,a baseball game being played on a field,[OFA_UNAVAILABLE],a baseball game is being played on a sunny day,0.0584289629378666,0.180921760812233,,0.0667409471904148,0.1629443628770185,0.4376470588235293,0.4761904761904762,1,1,,1,correct,correct,,correct,,,,,0.4320371830449506,7.607276936204956,,,"['A field full of baseball players playing a game of  baseball.', 'a baseball field that has some players in it', 'A baseball team playing on a baseball field', 'a number of baseball players on a field ', 'A crowd of people are watching two teams of athletes perform.']",0.7692307692307693,0.3580574370197165,0.1052375924500303,low,0.75,0.5669467095138409,0.3769737205645769,0.1861428015298328,0.6388888888888888,0.75,medium,0.5,0.3333333333333333,0.1115721583470282,0.0836750584229239,0.5439024390243904,0.5555555555555556,low,1,1,1,1,1,1,1,1,1,0,0,0,0.4437872969247767,0.3224304792424918
134574,COCO_val2014_000000134574.jpg,val,counting_errors,True,True,"['A table topped with four plates filled with food.', 'A number of plates with food and a glass on the table', 'A number of plates with food, spoon and glass', 'A variety of food on a dining room table. ', 'Plates of food on a table at a restaurant ', ""A picture of a couple plates of someone's lunch sitting on a table.""]",A table topped with four plates filled with food.,6,several plates of food on a table with a person taking a picture,three plates of food on a table,[OFA_UNAVAILABLE],plates of food on a table,0.4525888007890558,0.6080253214198359,,0.6065306597126334,0.3255236819653496,0.6752062527138515,0.6363636363636364,1,0,,0,correct,object_misidentification,,object_misidentification,,three,,food,0.44210328061048837,7.676611041735554,,,"['A table topped with four plates filled with food.', 'A number of plates with food and a glass on the table', 'A number of plates with food, spoon and glass', 'A variety of food on a dining room table. ', 'Plates of food on a table at a restaurant ', ""A picture of a couple plates of someone's lunch sitting on a table.""]",0.7692307692307693,0.6201736729460423,0.5190764423474679,high,0.6441233940645307,0.6351142315744462,0.623595797016113,0.4101709355913002,0.6392045454545455,0.75,high,0.6065306597126334,0.6065306597126334,0.6065306597126334,0.4820541389932254,0.6465517241379309,0.8,high,1,1,1,0,0,0,0,0,0,1,1,1,0.4564435494999206,0.2969028112227172
31569,COCO_val2014_000000031569.jpg,val,attribute_errors,True,True,"['Two zebra stand near an elephant, and a herd of water buffalo.', 'a couple of zebras aree standing in a field', 'Two zebras are pictured but there is an elephant and other animals in the background.', 'Zebras, an elephant, and ox standing in a grassy area.', 'A couple of zebra standing next to each other.']","Two zebra stand near an elephant, and a herd of water buffalo.",5,there are two zebras and an elephant in the wild together,a herd of zebras and an elephant in a field,[OFA_UNAVAILABLE],a herd of zebra standing on top of a dry grass field,0.0764116619450946,0.2208959113415788,,0.1473475423705159,0.1187839923194854,0.5251141552511416,0.4615384615384615,1,1,,1,correct,correct,,correct,,,,,0.380132568119862,6.1519699665383465,,,"['Two zebra stand near an elephant, and a herd of water buffalo.', 'a couple of zebras aree standing in a field', 'Two zebras are pictured but there is an elephant and other animals in the background.', 'Zebras, an elephant, and ox standing in a grassy area.', 'A couple of zebra standing next to each other.']",0.8181818181818182,0.4954336943068622,0.1397149425541143,low,1.0,0.816496580927726,0.5503212081491045,0.2141214444246275,0.618131868131868,0.631578947368421,medium,0.5833333333333334,0.4605661864718383,0.348769125125109,0.1600892054346711,0.3393817204301075,0.5714285714285715,medium,1,0,1,1,1,1,1,1,1,0,1,0,0.3950799496533845,0.3792354312940305
