caption,num_tokens,avg_JS,avg_KL,token_JS_list,token_KL_list,image_id
a small wooden bunk bed,7,0.4410836696624756,3.701941967010498,"[0.29600849747657776, 0.33493590354919434, 0.3764576315879822, 0.41904905438423157, 0.5369322299957275, 0.5206374526023865, 0.6035649180412292]","[2.768516, 2.9614973, 3.2722654, 3.4871237, 4.3721495, 4.2970667, 4.7549734]",COCO_val2014_000000000133.jpg
a kitchen with a table and chairs in it,11,0.5468205999244343,12.006845474243164,"[0.43431758880615234, 0.48437216877937317, 0.5612937211990356, 0.4749015271663666, 0.4969344139099121, 0.5745601058006287, 0.48989591002464294, 0.5927031636238098, 0.618782639503479, 0.6137884259223938, 0.6734769344329834]","[9.043068, 10.407152, 12.56174, 10.371568, 10.746049, 12.985104, 10.7793865, 13.361414, 13.635374, 13.625198, 14.55925]",COCO_val2014_000000000164.jpg
a baseball player is getting ready to hit the ball,12,0.6320009579261144,14.2440767288208,"[0.5259593725204468, 0.5538691282272339, 0.6202645301818848, 0.6112731695175171, 0.6150568723678589, 0.6614192724227905, 0.6719284057617188, 0.6525719165802002, 0.6702032089233398, 0.64902663230896, 0.6630803942680359, 0.6893585920333862]","[11.412195, 12.328502, 14.008098, 14.108207, 14.181995, 15.000145, 15.108948, 14.882286, 15.04187, 14.52853, 14.898598, 15.429541]",COCO_val2014_000000000192.jpg
a table full of food,7,0.501113270010267,7.809027671813965,"[0.3654385805130005, 0.46994447708129883, 0.5684216022491455, 0.5710412859916687, 0.3749174475669861, 0.5232583284378052, 0.6347711682319641]","[5.9598517, 7.2948513, 8.748932, 8.739996, 6.2143593, 8.364989, 9.34021]",COCO_val2014_000000000196.jpg
a small lizard is standing on a sink,10,0.5622896999120712,11.913488388061523,"[0.4600992798805237, 0.4570246636867523, 0.4782602787017822, 0.5757924318313599, 0.5763925313949585, 0.6471847891807556, 0.5773235559463501, 0.5544394254684448, 0.6239672899246216, 0.6724127531051636]","[9.334706, 9.374658, 10.046164, 12.538269, 12.617454, 13.894138, 12.181152, 11.686816, 13.284233, 14.177292]",COCO_val2014_000000000208.jpg
a group of people standing in front of a building,12,0.5198893249034882,12.010848045349121,"[0.39949679374694824, 0.4376150369644165, 0.5816535949707031, 0.42440447211265564, 0.5632526874542236, 0.6222488880157471, 0.5534893274307251, 0.5895411968231201, 0.4253021776676178, 0.44210612773895264, 0.5442306995391846, 0.6553308963775635]","[8.623688, 9.760344, 13.713167, 9.528791, 13.556794, 14.576526, 13.067524, 13.8073435, 9.527793, 9.742888, 13.1336155, 15.091697]",COCO_val2014_000000000257.jpg
a nintendo game system sitting on a table,10,0.6036188721656799,10.100102424621582,"[0.5235175490379333, 0.5128830075263977, 0.5561227202415466, 0.6017429828643799, 0.5989542007446289, 0.6520804762840271, 0.64666748046875, 0.630483865737915, 0.6435501575469971, 0.6701862812042236]","[9.199917, 8.991085, 9.668648, 10.142747, 10.146221, 10.652392, 10.532488, 10.367905, 10.560977, 10.738645]",COCO_val2014_000000000387.jpg
a pizza on a metal stand,8,0.4628557488322258,6.064648628234863,"[0.2842581570148468, 0.32669615745544434, 0.4624004065990448, 0.5178811550140381, 0.5024503469467163, 0.520778238773346, 0.5100662708282471, 0.578315258026123]","[4.1235213, 4.555805, 6.0209265, 6.760281, 6.610078, 6.6345716, 6.5561876, 7.2558155]",COCO_val2014_000000000397.jpg
a flock of birds flying over a body of water,12,0.5351957480112711,10.90645980834961,"[0.36232638359069824, 0.42802730202674866, 0.5808864235877991, 0.4734669029712677, 0.5842570662498474, 0.6194262504577637, 0.4853636920452118, 0.48544421792030334, 0.609442949295044, 0.5855169296264648, 0.5563204884529114, 0.6518703699111938]","[7.2998805, 9.064728, 11.868135, 9.0208645, 11.98426, 12.524044, 10.260595, 10.2137, 12.21534, 11.937705, 11.556168, 12.932099]",COCO_val2014_000000000520.jpg
a man flying a kite in a park,10,0.5197741091251373,8.748479843139648,"[0.3811556100845337, 0.4180549383163452, 0.533840537071228, 0.5211772918701172, 0.509538471698761, 0.5998887419700623, 0.5266852378845215, 0.4975014328956604, 0.55987948179245, 0.6500193476676941]","[6.9624767, 7.4554853, 8.935602, 8.814476, 8.593405, 9.777697, 8.9159565, 8.515992, 9.348444, 10.165258]",COCO_val2014_000000000569.jpg
a man is throwing a frck in a field,12,0.5988531932234764,13.483901977539062,"[0.4713900685310364, 0.4770791232585907, 0.5601352453231812, 0.5517881512641907, 0.6313247680664062, 0.5953320860862732, 0.681294322013855, 0.6390566825866699, 0.6431405544281006, 0.6037375330924988, 0.6450065970420837, 0.6869531869888306]","[10.737255, 11.357014, 13.262215, 13.091816, 14.095627, 13.356997, 15.049318, 14.239551, 14.119726, 13.074555, 14.367862, 15.054893]",COCO_val2014_000000000589.jpg
a cat standing on a bed next to a desk,12,0.5673982302347819,9.95345401763916,"[0.47963565587997437, 0.46945929527282715, 0.5630050897598267, 0.6342693567276001, 0.5705468654632568, 0.5639219284057617, 0.5966058969497681, 0.6331266164779663, 0.5238071084022522, 0.5283679962158203, 0.5943197011947632, 0.6517132520675659]","[8.752419, 8.366114, 9.980417, 10.820772, 10.024513, 9.956896, 10.465738, 10.832442, 9.356487, 9.500839, 10.471314, 10.913494]",COCO_val2014_000000000675.jpg
a woman taking a picture of a baby with a camera,13,0.5517661892450773,13.019587516784668,"[0.4612582325935364, 0.4988589286804199, 0.5779023170471191, 0.6014325022697449, 0.5657771229743958, 0.6346018314361572, 0.5442543029785156, 0.43719470500946045, 0.5336906909942627, 0.5413370132446289, 0.5094896554946899, 0.5919176340103149, 0.6752455234527588]","[10.403236, 11.592683, 13.5165615, 14.258964, 13.577298, 14.734253, 13.172654, 10.635182, 12.948294, 12.915556, 12.142603, 13.994555, 15.362808]",COCO_val2014_000000000692.jpg
a living room with a couch and a coffee table,12,0.523106021185716,8.684320449829102,"[0.4194260239601135, 0.45976579189300537, 0.618222713470459, 0.5897728204727173, 0.4333082437515259, 0.4318508505821228, 0.5202120542526245, 0.4607020318508148, 0.4662548899650574, 0.6326375007629395, 0.588901162147522, 0.6562181711196899]","[7.1988654, 7.7665157, 9.944939, 9.656649, 7.362115, 7.3191466, 8.842829, 7.995968, 8.039061, 10.109211, 9.664058, 10.312487]",COCO_val2014_000000000711.jpg
a bunch of oranges,7,0.4232857269900186,6.282625675201416,"[0.2960365414619446, 0.38038575649261475, 0.4926968812942505, 0.34394121170043945, 0.4241163730621338, 0.4320504367351532, 0.5937728881835938]","[4.5996943, 5.632392, 7.2541175, 5.1380496, 6.378009, 6.6597724, 8.316347]",COCO_val2014_000000000715.jpg
a group of people standing on a snow covered slope,12,0.5924329434831938,13.734752655029297,"[0.45678195357322693, 0.5103552341461182, 0.6072359085083008, 0.4960225820541382, 0.6027173399925232, 0.6506858468055725, 0.6234300136566162, 0.6106876134872437, 0.651178240776062, 0.6146867275238037, 0.6039161682128906, 0.6814976930618286]","[10.20673, 11.754683, 14.111482, 11.827735, 14.11368, 15.117946, 14.3694515, 14.098869, 15.064143, 14.247873, 14.225891, 15.678565]",COCO_val2014_000000000761.jpg
a basket of food on a table,9,0.5360786981052823,11.824831008911133,"[0.39073020219802856, 0.41743040084838867, 0.5700317621231079, 0.40540891885757446, 0.5954994559288025, 0.5749155282974243, 0.5672809481620789, 0.6301215291023254, 0.6732895374298096]","[8.609544, 9.353291, 13.084603, 9.470094, 13.476635, 12.30434, 11.7027645, 13.88519, 14.537014]",COCO_val2014_000000000810.jpg
a bathroom with two sinks and a mirror,10,0.46667187213897704,7.102950096130371,"[0.3548072576522827, 0.42220836877822876, 0.5122427940368652, 0.3951641321182251, 0.43826088309288025, 0.5247129201889038, 0.4080454111099243, 0.41203585267066956, 0.5681703090667725, 0.6310707926750183]","[5.3614993, 6.5034256, 7.8253546, 6.1148925, 6.583664, 8.044516, 6.4668055, 6.4482207, 8.561421, 9.119703]",COCO_val2014_000000000939.jpg
a black stove with a tea kettle on top,11,0.507754613052715,8.175331115722656,"[0.3711544871330261, 0.3729880750179291, 0.4046921730041504, 0.562667965888977, 0.45198124647140503, 0.4502086341381073, 0.6021195650100708, 0.5633264780044556, 0.5934312343597412, 0.5691335201263428, 0.6435973644256592]","[6.4511065, 6.46579, 6.722666, 8.973498, 7.5307713, 7.5038958, 9.345152, 8.982187, 9.253543, 9.032632, 9.667407]",COCO_val2014_000000000987.jpg
a group of kids,6,0.5569160729646683,12.801470756530762,"[0.469547837972641, 0.526638388633728, 0.59454345703125, 0.47789275646209717, 0.5991309285163879, 0.6737430691719055]","[10.256813, 11.66635, 13.923571, 11.37946, 14.137348, 15.445281]",COCO_val2014_000000001000.jpg
