image_id,file_name,split,scenario_category,has_saliency_png,has_fixation_mat,ground_truth_caps,primary_gt_caption,n_gt_captions,blip_caption,blip2_caption,ofa_caption,vit_gpt2_caption,bleu4_blip,bleu4_blip2,bleu4_ofa,bleu4_vit_gpt2,cider_blip,meteor_blip,rougeL_blip,human_correct_blip,human_correct_blip2,human_correct_ofa,human_correct_vit_gpt2,error_type_blip,error_type_blip2,error_type_ofa,error_type_vit_gpt2,error_token_blip,error_token_blip2,error_token_ofa,error_token_vit_gpt2,js_div_mean_blip,kl_div_mean_blip,error_token_js_blip,other_tokens_js_blip,gt_caps_parsed,bleu1_blip,bleu2_blip,bleu3_blip,bleu4_conf_blip,bleu1_blip2,bleu2_blip2,bleu3_blip2,cider_blip2,meteor_blip2,rougeL_blip2,bleu4_conf_blip2,bleu1_vit_gpt2,bleu2_vit_gpt2,bleu3_vit_gpt2,cider_vit_gpt2,meteor_vit_gpt2,rougeL_vit_gpt2,bleu4_conf_vit_gpt2,annotator_1_blip,annotator_2_blip,annotator_3_blip,annotator_1_blip2,annotator_2_blip2,annotator_3_blip2,annotator_1_vit_gpt2,annotator_2_vit_gpt2,annotator_3_vit_gpt2
463296,COCO_val2014_000000463296.jpg,val,attribute_errors,True,True,"['A living room has modern white furniture and red walls.', 'The furniture in the large living room looks new.', 'A small living room with furniture, a window and fireplace.', 'A living area with white leather furniture and a fireplace.', 'A group of chairs sitting in a living room by a window.']",A living room has modern white furniture and red walls.,5,"this is a living room with a couch, chair, ottoman and fireplace",a living room with two couches and a fireplace,[OFA_UNAVAILABLE],a living room filled with furniture and a fire place,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,0,1
99230,COCO_val2014_000000099230.jpg,val,context_mismatch,True,True,"['A cat has its paw on a game controller remote.', 'A PERSON HAS MADE A CAT PUT ITS PAW ON THE REMOTE.', 'A man is holding a cat and remote control.', 'A person tries to get a cat interested in a Wii-mote.', 'A black cat holding a Nintendo Wii controller.']",A cat has its paw on a game controller remote.,5,there is a black cat that is playing with a wii remote,a person holding a wii remote,[OFA_UNAVAILABLE],a person holding a cat on a couch,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
13383,COCO_val2014_000000013383.jpg,val,general_baseline,True,True,"['Cats lie on a desk next to a keyboard.', 'Two cats laying next to a cup of coffee.', 'Black and white cats lying on desk with keyboard.', 'Two cats sleeping on a table by a coffee cup', 'a cat on a desk laying next to a keyboard ']",Cats lie on a desk next to a keyboard.,5,there is a black and white cat laying on a desk next to a keyboard,two cats sleeping on a desk next to a keyboard,[OFA_UNAVAILABLE],a black and white cat laying next to a computer keyboard,,,,,,,,0,1,,1,attribute_mismatch,correct,,correct,desk,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
109976,COCO_val2014_000000109976.jpg,val,counting_errors,True,True,"['An all white kitchen with an electric stovetop. ', 'A white stove sits between two small counter tops.', 'Close up of a white kitchen setup with a coffee maker on counter.', 'A white stove and cabinet inside a kitchen.', 'This is a small kitchen with white cabinets and appliances.']",An all white kitchen with an electric stovetop. ,5,this is an image of a kitchen with white cabinets and a stove,a kitchen with white cabinets and granite counter tops,[OFA_UNAVAILABLE],a white stove top oven sitting in a kitchen,,,,,,,,0,1,,0,counting_errors,correct,,counting_errors,white,,,top,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,0,0
43261,COCO_val2014_000000043261.jpg,val,object_confusion,True,True,"['A white table with various plates and dishes of food.', 'A table is covered with many dishes of various foods.', 'the table is filled with lots of different foods. ', 'A hand that is holding a spoon in food.', 'An individual reaching for a bowl of various vegetables.']",A white table with various plates and dishes of food.,5,there is a person holding a fork over a dish of food,a person holding a fork over a dish of food,[OFA_UNAVAILABLE],a person preparing food on a table,,,,,,,,0,0,,1,object_misidentification,relation_mismatch,,correct,there,dish,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
497593,COCO_val2014_000000497593.jpg,val,attribute_errors,True,True,"['A white plate sitting on top of a table.', 'Dinner plate with pineapple accompanied by coffee and wine.', 'A meal on white and blue china with a fork and spoon', 'A small coffee cup and a plate of food.', 'A white plate with a serving of food on it']",A white plate sitting on top of a table.,5,there is a plate of food and a cup of tea on a table,a plate of food on a table,[OFA_UNAVAILABLE],a plate of food on a table,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,1,1,1
561116,COCO_val2014_000000561116.jpg,val,object_confusion,True,True,"['A dog with floppy ears sitting on a couch.', 'A big brown dog sitting on a couch', 'The dog was sitting on the couch near the child.', 'The yellow dog is sitting on the couch.', 'A dog who is sitting on a couch next to its owner.']",A dog with floppy ears sitting on a couch.,5,there is a dog that is sitting on a couch next to a baby,a dog sitting on a couch,[OFA_UNAVAILABLE],a brown and white dog sitting on a couch,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,1,1,1
389205,COCO_val2014_000000389205.jpg,val,attribute_errors,True,True,"['A field full of baseball players playing a game of  baseball.', 'a baseball field that has some players in it', 'A baseball team playing on a baseball field', 'a number of baseball players on a field ', 'A crowd of people are watching two teams of athletes perform.']",A field full of baseball players playing a game of  baseball.,5,there are a lot of people watching a baseball game on the field,a baseball game being played on a field,[OFA_UNAVAILABLE],a baseball game is being played on a sunny day,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
134574,COCO_val2014_000000134574.jpg,val,counting_errors,True,True,"['A table topped with four plates filled with food.', 'A number of plates with food and a glass on the table', 'A number of plates with food, spoon and glass', 'A variety of food on a dining room table. ', 'Plates of food on a table at a restaurant ', ""A picture of a couple plates of someone's lunch sitting on a table.""]",A table topped with four plates filled with food.,6,several plates of food on a table with a person taking a picture,three plates of food on a table,[OFA_UNAVAILABLE],plates of food on a table,,,,,,,,1,0,,0,correct,object_misidentification,,object_misidentification,,three,,food,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0
31569,COCO_val2014_000000031569.jpg,val,attribute_errors,True,True,"['Two zebra stand near an elephant, and a herd of water buffalo.', 'a couple of zebras aree standing in a field', 'Two zebras are pictured but there is an elephant and other animals in the background.', 'Zebras, an elephant, and ox standing in a grassy area.', 'A couple of zebra standing next to each other.']","Two zebra stand near an elephant, and a herd of water buffalo.",5,there are two zebras and an elephant in the wild together,a herd of zebras and an elephant in a field,[OFA_UNAVAILABLE],a herd of zebra standing on top of a dry grass field,,,,,,,,1,1,,1,correct,correct,,correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,1,1,1
